preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,75,1980,317,344414,9.2
ALAIN,75,1990,127,342971,3.7
ALAIN,75,2000,55,343350,1.6
ALAIN,75,2010,27,341175,0.79
ALAIN,76,1910,7,104579,0.67
ALAIN,76,1920,83,146713,5.66
ALAIN,76,1930,553,145406,38.03
ALAIN,76,1940,4046,157634,256.67
ALAIN,76,1950,5177,208780,247.96
ALAIN,76,1960,2210,210592,104.94
ALAIN,76,1970,342,189723,18.03
ALAIN,76,1980,106,180157,5.88
ALAIN,76,1990,20,153075,1.31
ALAIN,77,1920,25,50096,4.99
ALAIN,77,1930,235,52293,44.94
ALAIN,77,1940,1709,59756,286.0
ALAIN,77,1950,2168,77665,279.15
ALAIN,77,1960,1135,83529,135.88
ALAIN,77,1970,256,92453,27.69
ALAIN,77,1980,75,97400,7.7
ALAIN,77,1990,29,106487,2.72
ALAIN,77,2000,7,113196,0.62
ALAIN,77,2020,3,27401,1.09
ALAIN,78,1910,12,74795,1.6
ALAIN,78,1920,111,134099,8.28
ALAIN,78,1930,591,156128,37.85
ALAIN,78,1940,6155,192212,320.22
ALAIN,78,1950,7710,276279,279.07
ALAIN,78,1960,4179,316915,131.87
ALAIN,78,1970,318,150375,21.15
ALAIN,78,1980,81,155454,5.21
ALAIN,78,1990,32,152984,2.09
ALAIN,78,2000,10,142597,0.7
ALAIN,79,1920,10,48740,2.05
ALAIN,79,1930,107,47841,22.37
ALAIN,79,1940,730,53993,135.2
ALAIN,79,1950,1478,62128,237.9
ALAIN,79,1960,1135,57490,197.43
ALAIN,79,1970,166,45392,36.57
ALAIN,79,1980,18,35198,5.11
ALAIN,79,1990,3,27154,1.1
ALAIN,80,1920,32,71637,4.47
ALAIN,80,1930,322,67552,47.67
ALAIN,80,1940,1809,76863,235.35
ALAIN,80,1950,2283,95773,238.38
ALAIN,80,1960,1107,93004,119.03
ALAIN,80,1970,219,83855,26.12
ALAIN,80,1980,54,76900,7.02
ALAIN,80,1990,23,64192,3.58
ALAIN,81,1910,7,26172,2.67
ALAIN,81,1920,28,40015,7.0
ALAIN,81,1930,107,35596,30.06
ALAIN,81,1940,915,42581,214.88
ALAIN,81,1950,1563,48363,323.18
ALAIN,81,1960,903,45093,200.25
ALAIN,81,1970,128,38495,33.25
ALAIN,81,1980,6,33187,1.81
ALAIN,82,1930,47,19158,24.53
ALAIN,82,1940,483,25558,188.98
